 , ,2o,3x,4x,5o, ,7x,8o
0o, ,2x,3x,4o, ,6x, ,8o
 ,1x,2x,3o,4o,5o,6x, , 
 , ,2x,3o,4o,5o,6x,7x, 
0o, ,2x, ,4o,5x,6x, ,8o
 ,1x,2o,3x,4o, ,6o, ,8x
0x,1x, ,3o,4o,5o, , ,8x
0x, ,2o,3x,4o, ,6o, ,8x
0o,1x,2x,3o, , ,6o, ,8x
0o, ,2x, ,4o, ,6x,7x,8o
0o,1x, , ,4o,5x,6x, ,8o
0o,1o,2o, , ,5x, ,7x,8x
 , ,2o,3x,4o,5x,6o, ,8x
0x, , ,3o,4o,5o, ,7x,8x
0x, ,2x,3o,4o,5o, ,7x, 
0o, ,2x,3o, ,5x,6o, ,8x
0x, , , ,4x,5x,6o,7o,8o
 ,1o,2x,3x,4o,5x, ,7o, 
 ,1o,2x, ,4o,5x,6x,7o, 
0o, ,2x,3o,4x, ,6o,7x, 
0x, ,2o, ,4x,5o,6x, ,8o
 ,1x,2o, ,4o,5x,6o,7x, 
 , ,2x,3x, ,5x,6o,7o,8o
 ,1x,2x,3x, , ,6o,7o,8o
 ,1o, ,3x,4o,5x, ,7o,8x
0x,1x,2o, ,4o, ,6o, ,8x
0x, ,2x,3o,4o,5o, , ,8x
0o,1x, , ,4o, ,6x,7x,8o
 ,1x,2x,3o,4o,5o, ,7x, 
0o,1o,2o,3x, ,5x, , ,8x
0o, ,2x, ,4o,5x, ,7x,8o
 , ,2o,3x,4o, ,6o,7x,8x
0o, , ,3o,4x, ,6o,7x,8x
0o,1x, , ,4o,5x, ,7x,8o
 , ,2x, ,4x,5x,6o,7o,8o
 ,1x, ,3x,4x, ,6o,7o,8o
0x, , ,3o,4o,5o,6x,7x, 
0x,1o, , ,4o, ,6x,7o,8x
0o,1o,2o,3x, ,5x,6x, , 
0x,1o,2x,3x,4o, , ,7o, 
0o,1o,2o,3x, , ,6x,7x, 
0o,1o,2o, ,4x,5x, ,7x, 
0x, ,2o,3x,4o, ,6o,7x, 
0x,1o, , ,4o,5x, ,7o,8x
 ,1o, ,3x,4o, ,6x,7o,8x
 ,1o, ,3x,4o,5x,6x,7o, 
0o, , ,3x,4o,5x, ,7x,8o
0x,1x,2o,3x, ,5o, , ,8o
0x,1x, ,3x, , ,6o,7o,8o
 ,1x,2o,3x,4o,5x,6o, , 
 ,1x,2x, , ,5x,6o,7o,8o
0x,1x,2o, ,4o,5x,6o, , 
0x,1x,2o, ,4x,5o, , ,8o
0o, , ,3o, ,5x,6o,7x,8x
0x,1x, , , ,5x,6o,7o,8o
0o,1o,2o,3x, ,5x, ,7x, 
 ,1o, , ,4o,5x,6x,7o,8x
 ,1x,2o, ,4o, ,6o,7x,8x
 ,1x,2o, ,4x,5o,6x, ,8o
 ,1x, ,3o,4o,5o,6x,7x, 
0o,1x,2x, ,4o, ,6x, ,8o
0x,1x,2o, ,4o, ,6o,7x, 
 ,1x, , ,4x,5x,6o,7o,8o
0o,1o,2o,3x,4x, , ,7x, 
0x, ,2o, , ,5o,6x,7x,8o
 ,1x,2x, ,4x, ,6o,7o,8o
 ,1x, ,3o,4o,5o,6x, ,8x
0o, ,2x,3x,4o, , ,7x,8o
 ,1o,2x, ,4o, ,6x,7o,8x
 , ,2o, ,4x,5o,6x,7x,8o
0x, ,2o, ,4o,5x,6o, ,8x
 ,1o,2x, ,4o,5x, ,7o,8x
0o, , ,3o,4x,5x,6o, ,8x
 ,1x,2o, ,4o,5x,6o, ,8x
 , ,2x,3o,4o,5o, ,7x,8x
0o,1x, ,3o, ,5x,6o, ,8x
0o,1o,2o, ,4x, , ,7x,8x
0o,1x,2x, ,4o, , ,7x,8o
0x, ,2o, ,4o, ,6o,7x,8x
0x, ,2o,3x,4o,5x,6o, , 
0o,1x, ,3x,4o, ,6x, ,8o
0o,1x, ,3o,4x,5x,6o, , 
 ,1x, ,3o,4o,5o, ,7x,8x
 ,1o,2x,3x,4o, , ,7o,8x
0o,1o,2o,3x,4x, ,6x, , 
0x,1o, , ,4o,5x,6x,7o, 
0o, ,2x,3x,4o,5x, , ,8o
0o,1o,2o,3x, , ,6x, ,8x
0x, ,2o,3x, ,5o, ,7x,8o
0x,1o,2x, ,4o, , ,7o,8x
0x,1x, ,3o,4o,5o,6x, , 
0o,1x, ,3x,4o,5x, , ,8o
0o,1x, ,3x,4o, , ,7x,8o
0o,1x, ,3o,4x, ,6o, ,8x
 ,1x,2o, , ,5o,6x,7x,8o
